Player,Nationality,Born,Region,Status,Current Role,Team,Approx. Total Winnings,Controller
Vipex,Saudi Arabia,17,Middle East,Active,Player,,,Not Listed
Firas,Saudi Arabia,19,Middle East,Active,Player,,"$8,033",PlayStation
OVaMPiERz,Saudi Arabia,20,Middle East,Active,Player,,"$8,166",PlayStation
Suspect,Saudi Arabia,,Middle East,Active,Player,,"$12,675",Not Listed
LGGS,Saudi Arabia,,Middle East,Active,Player,Onyx Ravens,"$1,800",Not Listed
Lev,Saudi Arabia,,Middle East,Active,Player,YT Spoilers,,Not Listed
Glowz,Saudi Arabia,17,Middle East,Active,Player,,"$1,400",Not Listed
Nadr,Saudi Arabia,17,Middle East,Active,Player,Miracle Makers,"$2,200",PlayStation
MySTeriOuS.,Saudi Arabia,19,Middle East,Active,Player,Eternal Fire,$600,Not Listed
Anas,Saudi Arabia,19,Middle East,Active,Player,,$800,PlayStation
M7md5noop,Saudi Arabia,,Middle East,Active,Player,TRIPLE M,$100,Not Listed
Venom,Saudi Arabia,20,Middle East,Active,Player,Cola,"$15,251",Nacon Pro 2 Revoloution(Gold)
Faisal,Saudi Arabia,,Middle East,Active,Player,,"$9,914",Not Listed
Fahad,Saudi Arabia,17,Middle East,Active,Player,SCYTES,"$22,878",PlayStation
MD_(Qatari_Player),Qatar,18,Middle East,Active,Player,Krentina Esports,$706,PlayStation
T9berh,Saudi Arabia,,Middle East,Active,Player,Triple Esports,$48,Not Listed
Talal.,Saudi Arabia,,Middle East,Active,Player,Mythical,"$1,219",Not Listed
Naizak,Saudi Arabia,,Middle East,Active,Player,Onyx Ravens,$600,Not Listed
Mag.,Saudi Arabia,,Middle East,Active,Player,Mythical,$600,Not Listed
Impressive,Saudi Arabia,22,Middle East,Active,Player,Veloce Esports,"$13,727",KBM
SiAT,Saudi Arabia,,Middle East,Active,Player,,"$1,292",Not Listed
Hatem,Saudi Arabia,,Middle East,Active,Player,Eternal Fire,"$1,200",Not Listed
Meesh18,Saudi Arabia,,Middle East,Active,Player,,$18,Not Listed
SWQA,Saudi Arabia,,Middle East,Active,Player,Miracle Makers,"$1,500",Not Listed
Mgrm,Saudi Arabia,21,Middle East,Active,Player,25eSports,"$1,067",PlayStation
Nasser,Saudi Arabia,19,Middle East,Active,Player,25eSports,,PlayStation
Eizo,Saudi Arabia,20,Middle East,Active,Player,25eSports,"$1,067",PlayStation
K-Nine,Egypt,22,Africa,Active,Player,,$15,PlayStation
AbuLba,Egypt,18,Africa,Active,Player,,$15,PlayStation
ScoB,Kuwait,,Middle East,Active,Player,,"$1,800",Not Listed
Mzxy.,Saudi Arabia,16,Middle East,Active,Player,Onyx Ravens,"$1,422",PlayStation
JSM,Saudi Arabia,,Middle East,Active,Player,Miracle Makers,"$1,500",Not Listed
BetterCallYousef,,,,,,,,Not Listed
XLynxXX721,,,,,,,,Not Listed
Mikeboy,,,,,,,,Not Listed
Speed,,,,,,,,Not Listed
Emre,,,,,,,,Not Listed
Chippy,,,,,,,,Not Listed
Justuszzz,,,,,,,,Not Listed
Polar,,,,,,,,Not Listed
Virtuoso,,,,,,,,Not Listed
Oscillon,,,,,,,,Not Listed
Daniel,,,,,,,,Not Listed
Paarth,,,,,,,,Not Listed
Aqua.,,,,,,,,Not Listed
Zineel,,,,,,,,Not Listed
Kayex,,,,,,,,Not Listed
Skillz,,,,,,,,Not Listed
2Piece,,,,,,,,Not Listed
Chronic,,,,,,,,Not Listed
Night,,,,,,,,Not Listed
Flitz,,,,,,,,Not Listed
Kirii,,,,,,,,Not Listed
Angel,,,,,,,,Not Listed
Shoe,,,,,,,,Not Listed
Juck,,,,,,,,Not Listed
Chilli,,,,,,,,Not Listed
Zukoe,,,,,,,,Not Listed
Civex,,,,,,,,Not Listed
Butters,,,,,,,,Not Listed
Joryx,,,,,,,,Not Listed
Exodus_(Australian_Player),,,,,,,,Not Listed
Sen_Horo,,,,,,,,Not Listed
Daisu,,,,,,,,Not Listed
Scrub_(Australian_Player),,,,,,,,Not Listed
Ghost_(Australian_Player),,,,,,,,Not Listed
KyRo,,,,,,,,Not Listed
Sweeper,,,,,,,,Not Listed
Lunr,,,,,,,,Not Listed
Morse,,,,,,,,Not Listed
Viiexn,,,,,,,,Not Listed
Rothie,,,,,,,,Not Listed
Soulja,,,,,,,,Not Listed
Vult,,,,,,,,Not Listed
Sad,,,,,,,,Not Listed
KnS,,,,,,,,Not Listed
Pan.,,,,,,,,Not Listed
Seck,,,,,,,,Not Listed
Ninja23509,,,,,,,,Not Listed
Stormiity,,,,,,,,Not Listed
Laucha,,,,,,,,Not Listed
Dappluto,,,,,,,,Not Listed
Flare,,,,,,,,Not Listed
Artezzy,,,,,,,,Not Listed
Roods,,,,,,,,Not Listed
Tgex,,,,,,,,Not Listed
Roblah,,,,,,,,Not Listed
ZhearX,,,,,,,,Not Listed
Canom,,,,,,,,Not Listed
Deathxplosion,,,,,,,,Not Listed
Avasttz,,,,,,,,Not Listed
Lucas06,,,,,,,,Not Listed
Thiagxw,,,,,,,,Not Listed
Ams.,,,,,,,,Not Listed
M7sN,,,,,,,,Not Listed
Adot,,,,,,,,Not Listed
LEGEND.,,,,,,,,Not Listed
Talal,,,,,,,,Not Listed
Tmim.,,,,,,,,Not Listed
Yahya,,,,,,,,Not Listed
Nine,,,,,,,,Not Listed
Suliman3nb,,,,,,,,Not Listed
Amory,,,,,,,,Not Listed
XDangerousPlayer,,,,,,,,Not Listed
Brownie,,,,,,,,Not Listed
FaHaD_KING,,,,,,,,Not Listed
Mohammed,,,,,,,,Not Listed
MAJID,,,,,,,,Not Listed
QNa9r,,,,,,,,Not Listed
Osama,,,,,,,,Not Listed
LGGS.,,,,,,,,Not Listed
Hatem.,,,,,,,,Not Listed
Even,,,,,,,,Not Listed
Nwpo,,,,,,,,Not Listed
Sqy,,,,,,,,Not Listed
Mag,,,,,,,,Not Listed
ExoTiiK,,,,,,,,Not Listed
LTK_AtomiK,,,,,,,,Not Listed
Ekon,,,,,,,,Not Listed
Fruity,,,,,,,,Not Listed
Kérian,,,,,,,,Not Listed
Crispy,,,,,,,,Not Listed
Simas,,,,,,,,Not Listed
Accro,,,,,,,,Not Listed
Tadpole,,,,,,,,Not Listed
Rehzzy,,,,,,,,Not Listed
Hyderr,,,,,,,,Not Listed
AcroniK,,,,,,,,Not Listed
Oski,,,,,,,,Not Listed
Atow.,,,,,,,,Not Listed
FreaKii.,,,,,,,,Not Listed
Rezears,,,,,,,,Not Listed
EleXiT.,,,,,,,,Not Listed
Stizzy,,,,,,,,Not Listed
D_O_R_I_T_O,,,,,,,,Not Listed
Parka.,,,,,,,,Not Listed
Forece,,,,,,,,Not Listed
-juicy,,,,,,,,Not Listed
AcroniK.,,,,,,,,Not Listed
Gekk,,,,,,,,Not Listed
Yukiss,,,,,,,,Not Listed
WhiiskyDrink,,,,,,,,Not Listed
Salidow,,,,,,,,Not Listed
Roxrz,,,,,,,,Not Listed
Snaz,,,,,,,,Not Listed
Jruss,,,,,,,,Not Listed
Night.,,,,,,,,Not Listed
SPYDOGE,,,,,,,,Not Listed
Gus,,,,,,,,Not Listed
Row,,,,,,,,Not Listed
Aza,,,,,,,,Not Listed
Paradise,,,,,,,,Not Listed
Crazy,,,,,,,,Not Listed
Happypingoo,,,,,,,,Not Listed
